,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
29,0.0,-3.0,1.0,-1.0,4.0,2.0,1.0,-1.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,9.0,0.0,1.0,0.0,-1.0,1.0
30,5.0,0.0,-1.0,0.0,-2.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,-3.0,2.0,5.0,7.0,1.0,-1.0,-2.0,0.0,-1.0
31,8.0,0.0,2.0,1.0,0.0,3.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,3.0,4.0,-1.0,2.0,1.0,0.0,5.0
32,4.0,0.0,-4.0,0.0,5.0,0.0,3.0,1.0,3.0,-1.0,0.0,1.0,-1.0,0.0,3.0,-2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0
33,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,4.0
34,4.0,0.0,2.0,0.0,1.0,4.0,0.0,-1.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,-1.0,0.0,6.0,4.0,0.0,-1.0,2.0,1.0,8.0
35,4.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,-1.0,0.0,3.0,0.0,12.0,1.0,1.0,0.0,1.0,0.0
36,6.0,2.0,-2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,-1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,-1.0,5.0
37,6.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,-1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,9.0,1.0,0.0,0.0,2.0,2.0
38,6.0,1.0,-4.0,1.0,0.0,0.0,-1.0,0.0,2.0,3.0,0.0,4.0,-1.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,-1.0,2.0,1.0,1.0,4.0
39,9.0,0.0,-3.0,-1.0,1.0,5.0,6.0,0.0,6.0,2.0,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,10.0,0.0,3.0,3.0,2.0,2.0
40,2.0,0.0,1.0,1.0,1.0,5.0,0.0,-1.0,2.0,1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,11.0,0.0,-1.0,-1.0,1.0,4.0
41,0.0,5.0,-2.0,0.0,-1.0,0.0,4.0,0.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,-1.0,5.0,9.0,5.0,0.0,2.0,0.0,-1.0,6.0
42,5.0,1.0,-5.0,0.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,-2.0,2.0,0.0,3.0,-2.0,0.0,5.0,10.0,0.0,-1.0,4.0,-4.0,1.0,3.0
43,5.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,-1.0,7.0,5.0,12.0,-1.0,0.0,2.0,0.0,7.0
44,6.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,8.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,-7.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,5.0
