,0,1,2,3,4,5,6,7,8,9,10
55,2.0,2.0,5.0,4.0,1.0,-1.0,1.0,-1.0,6.0,0.0,3.0
56,9.0,2.0,2.0,4.0,2.0,6.0,3.0,1.0,6.0,1.0,4.0
57,1.0,0.0,4.0,11.0,2.0,3.0,0.0,-1.0,2.0,5.0,4.0
58,6.0,4.0,6.0,5.0,7.0,5.0,4.0,-1.0,6.0,1.0,4.0
59,8.0,15.0,6.0,-1.0,4.0,1.0,1.0,-1.0,9.0,0.0,3.0
60,3.0,3.0,2.0,9.0,5.0,7.0,5.0,-2.0,7.0,3.0,9.0
61,14.0,2.0,-3.0,2.0,7.0,5.0,2.0,0.0,3.0,6.0,6.0
62,8.0,6.0,5.0,3.0,2.0,1.0,1.0,3.0,9.0,2.0,7.0
63,9.0,2.0,6.0,2.0,5.0,6.0,3.0,-1.0,6.0,4.0,1.0
64,13.0,0.0,5.0,10.0,10.0,8.0,2.0,-2.0,1.0,2.0,4.0
65,9.0,1.0,-1.0,7.0,8.0,2.0,3.0,-1.0,7.0,4.0,5.0
66,4.0,5.0,9.0,4.0,6.0,4.0,3.0,-1.0,5.0,3.0,0.0
67,8.0,3.0,-1.0,6.0,8.0,3.0,3.0,-1.0,7.0,1.0,4.0
68,3.0,4.0,-1.0,11.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0
69,4.0,-1.0,-2.0,12.0,2.0,0.0,0.0,0.0,13.0,0.0,3.0
70,13.0,2.0,5.0,11.0,2.0,3.0,4.0,2.0,7.0,6.0,2.0
71,10.0,0.0,-2.0,2.0,17.0,0.0,4.0,-2.0,12.0,5.0,4.0
72,1.0,5.0,3.0,9.0,3.0,7.0,2.0,5.0,7.0,7.0,1.0
73,3.0,9.0,2.0,6.0,6.0,8.0,1.0,0.0,3.0,4.0,1.0
74,10.0,10.0,4.0,7.0,10.0,3.0,1.0,0.0,4.0,5.0,4.0
75,5.0,1.0,2.0,8.0,7.0,8.0,1.0,5.0,11.0,7.0,4.0
76,8.0,9.0,15.0,4.0,3.0,0.0,2.0,1.0,11.0,4.0,3.0
77,4.0,4.0,2.0,8.0,1.0,3.0,1.0,-4.0,12.0,0.0,4.0
78,1.0,1.0,13.0,10.0,3.0,4.0,7.0,-1.0,11.0,6.0,9.0
79,4.0,9.0,1.0,7.0,13.0,12.0,-3.0,2.0,6.0,7.0,7.0
80,6.0,4.0,2.0,5.0,13.0,2.0,0.0,-1.0,11.0,0.0,2.0
81,4.0,2.0,5.0,11.0,6.0,5.0,8.0,-1.0,4.0,-1.0,2.0
82,7.0,5.0,1.0,10.0,-2.0,6.0,5.0,1.0,9.0,8.0,2.0
83,5.0,0.0,4.0,13.0,0.0,10.0,4.0,-1.0,17.0,5.0,1.0
84,13.0,6.0,6.0,9.0,7.0,8.0,1.0,1.0,11.0,1.0,4.0
85,0.0,-1.0,3.0,5.0,12.0,9.0,0.0,-1.0,2.0,8.0,6.0
86,4.0,9.0,5.0,3.0,1.0,2.0,0.0,-2.0,0.0,1.0,1.0
87,1.0,3.0,2.0,7.0,10.0,7.0,1.0,-1.0,5.0,9.0,0.0
88,5.0,3.0,3.0,7.0,3.0,3.0,0.0,-3.0,1.0,9.0,10.0
89,7.0,4.0,1.0,3.0,8.0,7.0,3.0,3.0,12.0,15.0,8.0
90,5.0,9.0,9.0,9.0,13.0,6.0,5.0,0.0,6.0,7.0,4.0
91,-1.0,1.0,0.0,4.0,7.0,3.0,1.0,0.0,8.0,8.0,4.0
92,3.0,8.0,8.0,8.0,12.0,5.0,6.0,1.0,5.0,5.0,9.0
93,4.0,2.0,10.0,10.0,13.0,7.0,3.0,0.0,13.0,8.0,8.0
94,6.0,4.0,1.0,11.0,3.0,9.0,4.0,0.0,9.0,3.0,0.0
95,4.0,5.0,4.0,9.0,9.0,1.0,7.0,0.0,14.0,4.0,3.0
96,8.0,5.0,4.0,3.0,14.0,13.0,9.0,1.0,3.0,2.0,2.0
97,9.0,6.0,13.0,7.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0
98,10.0,2.0,0.0,10.0,11.0,2.0,2.0,-1.0,7.0,8.0,10.0
99,11.0,4.0,0.0,7.0,8.0,6.0,4.0,0.0,11.0,5.0,1.0
100,4.0,3.0,0.0,7.0,0.0,0.0,1.0,3.0,15.0,0.0,8.0
101,1.0,5.0,12.0,6.0,9.0,7.0,8.0,3.0,14.0,12.0,13.0
102,10.0,4.0,7.0,4.0,2.0,11.0,8.0,-2.0,0.0,1.0,7.0
103,13.0,1.0,8.0,18.0,1.0,10.0,9.0,-1.0,8.0,8.0,1.0
104,16.0,4.0,4.0,3.0,8.0,4.0,4.0,0.0,9.0,6.0,3.0
105,7.0,4.0,6.0,13.0,4.0,7.0,3.0,-2.0,12.0,7.0,2.0
106,10.0,8.0,6.0,3.0,6.0,8.0,6.0,0.0,14.0,4.0,8.0
